target,feat_01,feat_02,feat_03,feat_04,feat_05,feat_06,feat_07,feat_08,feat_09,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18
1.0,208.22,113.97928571428572,1595.71,48.50546558644956,8.0,14.0,5.0,0.5714285714285714,1.0,8.0,14.0,0.5714285714285714,0.0,0.0,19.0,0.0,0.0,140.7111111111111
1.0,34466.92,12055.280217391304,554542.89,10817.011230894605,5.0,46.0,1.0,0.108695652173913,0.0,12.0,46.0,0.2608695652173913,0.0,47.0,47.0,1.0,0.9565217391304348,128.8289855072464
1.0,719.6,181.61941346551,439700.6,21.48623379739528,357.0,2421.0,3566.0,0.1474597273853779,0.0,387.0,2421.0,0.1598513011152416,6.0,11.0,8128.0,0.0013533464566929,0.0,28.976503309393017
1.0,149861.15,13274.79827586207,384969.15,29656.993866275818,2.0,29.0,0.0,0.0689655172413793,1.0,24.0,29.0,0.8275862068965517,11.0,29.0,29.0,1.0,0.5357142857142857,35.50833333333333
1.0,124175.13,17472.002727272727,384384.06,32525.45393244353,1.0,22.0,0.0,0.0454545454545454,1.0,16.0,22.0,0.7272727272727273,10.0,22.0,22.0,1.0,0.2857142857142857,567.3166666666667
1.0,27162.63,5663.171739130435,130252.95,6255.034112636181,0.0,23.0,0.0,0.0,1.0,18.0,23.0,0.782608695652174,10.0,23.0,23.0,1.0,0.3333333333333333,0.0
1.0,20714.1,5550.347999999999,83255.22,6729.546773687342,1.0,15.0,0.0,0.0666666666666666,1.0,10.0,15.0,0.6666666666666666,10.0,15.0,15.0,1.0,0.4666666666666667,831.75
1.0,263787.45,25856.674358974364,1008410.3,50231.91522132266,0.0,39.0,0.0,0.0,1.0,35.0,39.0,0.8974358974358975,11.0,39.0,39.0,1.0,0.7368421052631579,97.925
1.0,2626.0,1366.725925925926,36901.6,580.4888920043654,1.0,27.0,0.0,0.037037037037037,0.0,9.0,26.0,0.3461538461538461,5.0,27.0,27.0,1.0,0.0909090909090909,9.883333333333333
1.0,59257.78,9746.239999999998,155939.84,19055.170033295777,1.0,16.0,0.0,0.0625,0.0,12.0,16.0,0.75,7.0,16.0,16.0,1.0,0.0,119.71666666666668
1.0,4113.77,2279.66,20516.94,1549.875756536633,0.0,9.0,0.0,0.0,1.0,8.0,9.0,0.8888888888888888,10.0,6.0,9.0,0.6666666666666666,1.0,26.175
1.0,163197.82,29574.91142857143,414048.76,41626.321553760245,0.0,14.0,0.0,0.0,1.0,9.0,14.0,0.6428571428571429,12.0,14.0,14.0,1.0,0.3571428571428571,0.0
1.0,110000.0,16251.57181818182,357534.58,26132.838406966534,1.0,22.0,0.0,0.0454545454545454,1.0,18.0,22.0,0.8181818181818182,10.0,22.0,22.0,1.0,0.4285714285714285,537.4333333333333
1.0,55139.76,8284.054999999998,149112.99,12523.7880538918,1.0,18.0,0.0,0.0555555555555555,1.0,14.0,18.0,0.7777777777777778,6.0,18.0,18.0,1.0,0.5555555555555556,166.5
1.0,86586.97,13184.135142857142,461444.73,18646.90139666789,1.0,35.0,0.0,0.0285714285714285,1.0,25.0,35.0,0.7142857142857143,9.0,35.0,35.0,1.0,0.5483870967741935,399.58
1.0,459544.56,45982.818333333336,551793.82,130417.61756896616,1.0,12.0,0.0,0.0833333333333333,1.0,6.0,12.0,0.5,7.0,12.0,12.0,1.0,0.6,0.0
1.0,459828.42,25849.063,775471.89,83346.489343238,1.0,30.0,0.0,0.0333333333333333,1.0,24.0,30.0,0.8,7.0,30.0,30.0,1.0,0.5185185185185185,257.8777777777778
1.0,240000.0,31965.2875,383583.45,68100.61768773588,1.0,12.0,0.0,0.0833333333333333,1.0,9.0,12.0,0.75,9.0,12.0,12.0,1.0,0.4,0.0
1.0,214926.24,29426.61090909091,323692.72,66086.57121829585,1.0,11.0,0.0,0.0909090909090909,1.0,4.0,11.0,0.3636363636363636,8.0,11.0,11.0,1.0,0.2,1049.8333333333333
1.0,26720.0,6793.668461538464,176635.38,7516.678922229255,1.0,26.0,0.0,0.0384615384615384,1.0,21.0,26.0,0.8076923076923077,7.0,26.0,26.0,1.0,0.3478260869565217,316.55333333333334
1.0,67080.0,16646.598333333335,399518.36,19597.418464482525,0.0,24.0,0.0,0.0,1.0,21.0,24.0,0.875,9.0,24.0,24.0,1.0,0.5454545454545454,10.466666666666669
1.0,214926.24,20704.75785714286,289866.61,56439.50706388636,0.0,14.0,0.0,0.0,1.0,9.0,14.0,0.6428571428571429,8.0,14.0,14.0,1.0,0.3076923076923077,6.441666666666666
1.0,98965.0,7740.306538461538,201247.97,19105.57382046359,1.0,26.0,0.0,0.0384615384615384,1.0,22.0,26.0,0.8461538461538461,6.0,26.0,26.0,1.0,0.3043478260869565,0.0
1.0,65835.0,12206.36911764706,415016.55,16676.178811656875,2.0,34.0,0.0,0.0588235294117647,1.0,28.0,34.0,0.8235294117647058,8.0,34.0,34.0,1.0,0.696969696969697,226.63
1.0,1044934.0,96770.742,1451561.13,264683.79441133456,1.0,15.0,0.0,0.0666666666666666,1.0,9.0,15.0,0.6,2.0,15.0,15.0,1.0,0.2666666666666666,0.0
1.0,3.8,3.8,3.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,1.0,1.0,1.0,0.0,0.0
1.0,14062.17,3454.0616000000005,86351.54,3634.013014882996,1.0,25.0,0.0,0.04,1.0,19.0,25.0,0.76,8.0,25.0,25.0,1.0,0.4347826086956521,297.0
1.0,54126.37,7196.364210526316,136730.92,13978.660911489467,1.0,19.0,0.0,0.0526315789473684,1.0,15.0,19.0,0.7894736842105263,7.0,19.0,19.0,1.0,0.2941176470588235,443.81666666666666
1.0,68250.72,15631.277222222225,281362.99,21619.30660025264,2.0,18.0,0.0,0.1111111111111111,1.0,11.0,18.0,0.6111111111111112,8.0,18.0,18.0,1.0,0.6111111111111112,353.18888888888887
1.0,4.0,3.91,7.82,0.1272792206135787,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,13.0,2.0,2.0,1.0,0.0,0.0
1.0,71825.0,15507.804444444448,139570.24,21607.116330350585,1.0,9.0,0.0,0.1111111111111111,1.0,6.0,9.0,0.6666666666666666,1.0,9.0,9.0,1.0,0.4444444444444444,0.0
1.0,570025.5,65561.08966666667,1966832.69,114120.13497833784,1.0,30.0,0.0,0.0333333333333333,1.0,25.0,30.0,0.8333333333333334,4.0,30.0,30.0,1.0,0.1666666666666666,0.0
1.0,40000.0,12299.374444444442,110694.37,12903.878601098111,1.0,9.0,0.0,0.1111111111111111,1.0,6.0,9.0,0.6666666666666666,1.0,9.0,9.0,1.0,0.5555555555555556,451.5416666666667
1.0,62848.46,7547.634285714286,105666.88,16147.739698204352,2.0,14.0,0.0,0.1428571428571428,1.0,10.0,14.0,0.7142857142857143,6.0,14.0,14.0,1.0,0.7142857142857143,473.8
1.0,63172.0,16208.674827586208,470051.57,18124.52748108458,1.0,29.0,0.0,0.0344827586206896,1.0,26.0,29.0,0.896551724137931,7.0,29.0,29.0,1.0,0.8888888888888888,8.833333333333334
1.0,69881.42,15091.044999999998,362185.08,17961.92468322392,2.0,24.0,0.0,0.0833333333333333,1.0,21.0,24.0,0.875,7.0,24.0,24.0,1.0,0.7619047619047619,0.0
1.0,239000.0,21652.733333333334,389749.2,56149.56528936758,1.0,18.0,0.0,0.0555555555555555,1.0,14.0,18.0,0.7777777777777778,7.0,18.0,18.0,1.0,0.4705882352941176,0.0
1.0,21902.8,8011.53625,64092.29,7626.468136831918,0.0,8.0,0.0,0.0,0.0,5.0,8.0,0.625,0.0,8.0,8.0,1.0,0.625,226.76666666666668
1.0,5.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,1.0,1.0,1.0,0.0,0.0
1.0,55235.24,15343.718333333332,184124.62,20348.302448302136,1.0,12.0,0.0,0.0833333333333333,1.0,6.0,12.0,0.5,7.0,12.0,12.0,1.0,0.4545454545454545,0.0
